,index,Netflix,Hulu,Prime Video,Disney+,title,budget,company,country,director,genre,rating,score,star,votes,writer,original_language,popularity,revenue,runtime,release_year,release_month,release_day,class,score_prediction
1719,1718,0.0,0.0,0.0,0.0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000.0,Walt Disney Pictures,USA,Other,Comedy,PG,6.2,Other,33719,Other,en,22.1,100654149,81.0,2014,10,10,0,5.9
1720,1719,0.0,0.0,0.0,0.0,42,40000000.0,Warner Bros.,USA,Other,Biography,PG-13,7.5,Other,71793,Brian Helgeland,en,31.9,95020213,128.0,2013,4,12,0,6.5
1721,1720,0.0,0.0,0.0,0.0,Green Lantern,200000000.0,Warner Bros.,USA,Other,Action,PG-13,5.6,Other,238078,Other,en,51.9,219851172,114.0,2011,6,17,0,6.1
1722,1721,0.0,0.0,0.0,0.0,Antwone Fisher,12500000.0,Other,USA,Other,Biography,PG-13,7.3,Denzel Washington,28508,Other,en,13.3,23367586,120.0,2003,1,10,0,6.3
1723,1722,0.0,0.0,0.0,0.0,12 Rounds,22000000.0,Other,USA,Renny Harlin,Action,PG-13,5.6,Other,24470,Other,en,15.7,17280326,108.0,2009,3,27,0,6.7
1724,1723,0.0,0.0,0.0,0.0,Blades of Glory,61000000.0,DreamWorks,USA,Other,Comedy,PG-13,6.3,Other,138106,Other,en,19.4,0,96.5,2007,3,30,0,6.1
1725,1724,0.0,0.0,0.0,0.0,Death Becomes Her,55000000.0,Universal Pictures,USA,Robert Zemeckis,Comedy,PG-13,6.5,Other,86106,Other,en,29.5,149022650,104.0,1992,7,31,0,5.9
1726,1725,0.0,0.0,0.0,0.0,Veronica Guerin,17000000.0,Touchstone Pictures,Other,Joel Schumacher,Biography,R,6.9,Other,17114,Other,en,9.6,1569918,98.0,2003,10,17,0,6.4
1727,1726,0.0,0.0,0.0,0.0,Independence Day: Resurgence,165000000.0,Twentieth Century Fox Film Corporation,USA,Other,Action,PG-13,5.3,Other,139610,Other,en,48.8,389681935,120.0,2016,6,24,0,6.2
1728,1727,0.0,0.0,0.0,0.0,Pocahontas,55000000.0,Walt Disney Pictures,USA,Other,Animation,G,6.7,Other,135165,Other,en,47.8,346079773,81.0,1995,6,23,0,6.1
1729,1728,0.0,0.0,0.0,0.0,The Lunchbox,1000000.0,Other,Other,Other,Drama,PG,7.8,Other,37150,Other,Other,14.0,4235151,104.0,2013,9,20,0,5.8
1730,1729,0.0,0.0,0.0,0.0,Gigli,54000000.0,Other,USA,Other,Comedy,R,2.4,Other,42994,Other,en,9.1,7266209,121.0,2003,8,1,1,6.0
1731,1730,0.0,0.0,0.0,0.0,Set It Off,9000000.0,New Line Cinema,USA,Other,Action,R,6.8,Other,11269,Other,en,6.7,41590886,120.5,1996,11,6,0,6.1
1732,1731,0.0,0.0,0.0,0.0,Iris,5500000.0,Other,UK,Other,Biography,R,7.1,Other,15473,Other,en,2.7,0,91.0,2002,3,29,0,6.2
1733,1732,0.0,0.0,0.0,0.0,The Namesake,12000000.0,Other,USA,Other,Drama,PG-13,7.6,Other,17381,Other,en,3.6,20138836,122.0,2007,4,6,0,5.8
1734,1733,0.0,0.0,0.0,0.0,The Fault in Our Stars,12000000.0,Fox 2000 Pictures,USA,Other,Drama,PG-13,7.8,Other,283976,Other,en,74.4,307166834,125.5,2014,6,6,0,7.3
1735,1734,0.0,0.0,0.0,0.0,Max Payne,35000000.0,Other,Canada,Other,Action,PG-13,5.4,Other,112849,Other,en,25.9,85416905,100.0,2008,10,17,0,7.0
1736,1735,0.0,0.0,0.0,0.0,The Bourne Identity,60000000.0,Universal Pictures,USA,Other,Action,PG-13,7.9,Other,446180,Other,en,86.5,214034224,119.0,2002,6,14,0,5.8
1737,1736,0.0,0.0,0.0,0.0,Kingdom of Heaven,130000000.0,Twentieth Century Fox Film Corporation,USA,Ridley Scott,Action,R,7.2,Other,233899,Other,en,44.5,211643158,144.0,2005,5,6,0,6.0
1738,1737,0.0,0.0,0.0,0.0,The Whole Ten Yards,40000000.0,Other,USA,Other,Comedy,PG-13,5.5,Bruce Willis,48540,Other,en,14.7,26155781,98.0,2004,4,9,0,6.3
1739,1738,0.0,0.0,0.0,0.0,Crossroads,12000000.0,Other,USA,Other,Comedy,PG-13,3.4,Other,35458,Other,en,6.7,61141030,93.0,2002,2,15,0,6.2
1740,1739,0.0,0.0,0.0,0.0,Aquamarine,12000000.0,Fox 2000 Pictures,USA,Other,Comedy,PG,5.3,Other,33387,Other,en,16.9,23006849,102.0,2006,3,3,0,5.8
1741,1740,0.0,0.0,0.0,0.0,Paper Towns,12000000.0,Fox 2000 Pictures,USA,Other,Drama,PG-13,6.3,Other,78572,Other,en,64.6,85512300,109.0,2015,7,24,0,6.0
1742,1741,0.0,0.0,0.0,0.0,Frailty,11000000.0,Other,USA,Other,Crime,R,7.3,Other,66051,Other,en,16.0,13110448,100.0,2002,4,12,0,6.5
1743,1742,0.0,0.0,0.0,0.0,Get Low,7500000.0,Other,USA,Other,Drama,PG-13,7.1,Other,20087,Other,en,6.6,0,103.0,2010,8,27,0,6.0
1744,1743,0.0,0.0,0.0,0.0,Taking Woodstock,30000000.0,Other,USA,Other,Biography,R,6.7,Other,25993,Other,en,11.9,0,120.0,2009,8,28,0,6.9
