budget_ds-movies,company,country,director,genre,gross,rating,score,star,votes,writer,year,keywords,original_language,overview,popularity,revenue,status,title,vote_average,vote_count,Ave_runtime,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genres
57000000.0,DreamWorks,USA,Gore Verbinski,Adventure,66808615.0,R,6.1,Brad Pitt,91818,J.H. Wyman,2001,"[{""id"": 1930, ""name"": ""kidnapping""}, {""id"": 13132, ""name"": ""pistol""}]",en,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.",21.021809,147845033,Released,The Mexican,5.8,441,123.0,18+,6.1,54%,0,1,0,0,0,"Adventure,Comedy,Crime,Romance"
80000000.0,Columbia Pictures Corporation,USA,Ivan Reitman,Comedy,38345494.0,PG-13,6.1,David Duchovny,106732,Don Jakoby,2001,"[{""id"": 428, ""name"": ""nurse""}, {""id"": 658, ""name"": ""sea""}, {""id"": 966, ""name"": ""beach""}, {""id"": 5202, ""name"": ""boy""}, {""id"": 10721, ""name"": ""pregnant""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 187056, ""name"": ""woman director""}]",fr,11-year-old Nicolas lives with his mother in a seaside housing estate. The only place that ever sees any activity is the hospital. It is there that all the boys from the village are forced to undergo strange medical trials that attempt to disrupt the phases of evolution.,3.300061,0,Released,Evolution,6.4,47,91.0,13+,6.1,43%,1,1,1,0,0,"Comedy,Sci-Fi"
48000000.0,Konrad Pictures,USA,James Mangold,Comedy,47121859.0,PG-13,6.4,Meg Ryan,69008,Steven Rogers,2001,"[{""id"": 1808, ""name"": ""lover (female)""}, {""id"": 2038, ""name"": ""love of one's life""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 5091, ""name"": ""kiss""}, {""id"": 6162, ""name"": ""past""}, {""id"": 7879, ""name"": ""secret love""}, {""id"": 11860, ""name"": ""fish out of water""}]",en,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",11.940711,0,Released,Kate & Leopold,6.0,418,118.0,13+,6.4,50%,1,0,0,0,0,"Comedy,Fantasy,Romance"
35000000.0,Davis Entertainment,USA,David Mirkin,Comedy,40334024.0,PG-13,6.2,Sigourney Weaver,46273,Robert Dunn,2001,"[{""id"": 206718, ""name"": ""cons and scams""}]",en,"Max and Page are a brilliant mother/daughter con team who have their grift down to a fine science. Max targets wealthy, willing men and marries them. Page then seduces them, and Max catches her husband in the act. Then it's off to palimony city and the next easy mark.",13.932203,0,Released,Heartbreakers,5.7,254,123.0,13+,6.2,53%,1,0,0,0,0,"Comedy,Crime,Romance"
75000000.0,Metro-Goldwyn-Mayer (MGM),USA,Barry Levinson,Comedy,41575141.0,PG-13,6.5,Bruce Willis,59465,Harley Peyton,2001,"[{""id"": 378, ""name"": ""prison""}]",en,Two bank robbers fall in love with the girl they've kidnapped.,24.353302,67631903,Released,Bandits,6.2,302,123.0,13+,6.5,64%,1,0,1,0,0,"Comedy,Crime,Drama,Romance"
30000000.0,Paramount Pictures,USA,John A. Davis,Animation,80936232.0,G,6.0,Debi Derryberry,25867,John A. Davis,2001,"[{""id"": 797, ""name"": ""showdown""}, {""id"": 2998, ""name"": ""gi""}, {""id"": 3289, ""name"": ""villain""}, {""id"": 6257, ""name"": ""genius""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 12101, ""name"": ""miniaturization""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 18069, ""name"": ""laser gun""}, {""id"": 18096, ""name"": ""spear""}, {""id"": 33353, ""name"": ""boy genius""}]",en,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",12.739721000000001,80936232,Released,Jimmy Neutron: Boy Genius,5.6,231,82.5,all,6.0,74%,1,0,0,0,0,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
70000000.0,Twentieth Century Fox Film Corporation,USA,Steve Carr,Comedy,112952899.0,PG,4.7,Eddie Murphy,36199,Hugh Lofting,2001,"[{""id"": 2735, ""name"": ""veterinarian""}, {""id"": 5774, ""name"": ""forest""}, {""id"": 10468, ""name"": ""bear""}, {""id"": 18165, ""name"": ""animal""}, {""id"": 216921, ""name"": ""animal protection""}]",en,"Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home.",13.543053,176104344,Released,Dr. Dolittle 2,4.9,410,87.0,7+,4.7,42%,0,0,0,1,0,"Comedy,Family,Fantasy"
23000000.0,Disney Television Animation,USA,Chuck Sheetz,Animation,36696761.0,G,6.6,Andrew Lawrence,7522,Paul Germain,2001,"[{""id"": 65, ""name"": ""holiday""}, {""id"": 8102, ""name"": ""elementary school""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 10988, ""name"": ""based on tv series""}, {""id"": 13088, ""name"": ""summer""}, {""id"": 210295, ""name"": ""classmates""}, {""id"": 224534, ""name"": ""recess""}]",en,"Recess: School's Out is a 2001 animated film based on the Disney television series Recess. This film was produced by Walt Disney Pictures and was released theatrically nationwide on February 16, 2001.It's the most exciting time of year at Third Street Elementary-- the end of the School Year! But boredom quickly sets in for protagonist TJ Detweiler, as his friends are headed for Summer Camp. One day, while passing by the school on his bike, he notices a green glow coming from the school's auditorium. This is the work of the insidious ex-principal of Third Street, Phillium Benedict and his gang of ninjas and secret service look-alikes! Benedict is planning to get rid of Summer Vacation using his newly-acquired Tractor Beam, which he stole from the US Military Base in an effort to raise US Test Scores, and it's up to the Recess Gang to stop him! In the end.",5.699058,44460850,Released,Recess: School's Out,6.6,67,82.5,all,6.6,60%,0,0,0,1,0,"Animation,Comedy,Family"
35000000.0,R.P. Productions,France,Roman Polanski,Biography,32572577.0,R,8.5,Adrien Brody,558449,Ronald Harwood,2002,"[{""id"": 30, ""name"": ""individual""}, {""id"": 836, ""name"": ""resistance""}, {""id"": 1224, ""name"": ""radio station""}, {""id"": 1327, ""name"": ""war crimes""}, {""id"": 1465, ""name"": ""loss of family""}, {""id"": 1468, ""name"": ""child murderer""}, {""id"": 1899, ""name"": ""hunger""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 1968, ""name"": ""prisoners of war""}, {""id"": 2156, ""name"": ""homeland""}, {""id"": 2428, ""name"": ""deportation""}, {""id"": 2430, ""name"": ""hiding place""}, {""id"": 2431, ""name"": ""ghetto riot""}, {""id"": 2433, ""name"": ""jew persecution""}, {""id"": 2434, ""name"": ""liberation""}, {""id"": 2435, ""name"": ""warsaw ghetto""}, {""id"": 2436, ""name"": ""polish resistance""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 5783, ""name"": ""classical music""}, {""id"": 11102, ""name"": ""panzer""}, {""id"": 14743, ""name"": ""pianist""}]",en,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,50.587540999999995,120072577,Released,The Pianist,8.0,1864,150.0,18+,8.5,95%,1,0,1,0,0,"Biography,Drama,Music,War"
102000000.0,Twentieth Century Fox Film Corporation,USA,Steven Spielberg,Action,132072926.0,PG-13,7.7,Tom Cruise,430579,Philip K. Dick,2002,"[{""id"": 476, ""name"": ""self-fulfilling prophecy""}, {""id"": 521, ""name"": ""washington d.c.""}, {""id"": 2620, ""name"": ""evidence""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3249, ""name"": ""hologram""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 207268, ""name"": ""neo-noir""}, {""id"": 236189, ""name"": ""future noir""}]",en,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",65.948959,358372926,Released,Minority Report,7.1,2608,145.0,13+,7.6,90%,1,0,0,0,0,"Action,Crime,Mystery,Sci-Fi,Thriller"
