budget_ds-movies,company,country,director,genre,gross,rating,score,star,votes,writer,original_language,popularity,revenue,title,Ave_runtime,release_year,release_month,recomendation,Netflix,Hulu,Prime Video,Disney+
35000000.0,Other,USA,Other,Comedy,13101142.0,PG-13,5.7,Other,25965,Other,en,17.932561,0,Playing for Keeps,105.5,2012,12,1.0,0.0,0.0,0.0,0.0
40000000.0,Other,USA,Other,Action,2497233.0,R,5.5,Other,825,Other,en,24.012985999999998,91753202,Behind Enemy Lines,98.0,1986,4,1.0,0.0,0.0,0.0,0.0
40000000.0,Twentieth Century Fox Film Corporation,USA,Other,Action,59068786.0,PG-13,6.4,Other,91188,Other,en,24.012985999999998,91753202,Behind Enemy Lines,106.0,2001,11,1.0,0.0,0.0,0.0,0.0
16000000.0,Other,USA,Rob Reiner,Adventure,30857814.0,PG,8.1,Other,322439,Other,en,44.533612,30857814,The Princess Bride,98.0,1987,10,2.0,0.0,0.0,0.0,1.0
1000000.0,Other,UK,Other,Horror,14564027.0,R,7.0,Other,83658,Other,en,22.583834,14564027,Hellraiser,94.0,1987,9,2.0,0.0,0.0,1.0,0.0
8500000.0,Warner Bros.,USA,Joel Schumacher,Comedy,32222567.0,R,7.3,Other,100914,Other,en,24.750909,32222567,The Lost Boys,97.0,1987,7,2.0,0.0,0.0,0.0,0.0
15000000.0,Other,USA,Other,Action,59735548.0,R,7.8,Other,315306,Other,en,50.009408,98235548,Predator,107.0,1987,6,2.0,0.0,0.0,0.0,0.0
27000000.0,Other,USA,Other,Action,38122105.0,R,6.6,Other,121048,Stephen King,en,30.131497999999997,38122105,The Running Man,101.0,1987,11,1.0,0.0,0.0,0.0,0.0
22700000.0,Other,USA,Other,Adventure,38119483.0,PG,7.1,Other,147650,Other,en,39.890798,38119483,Spaceballs,96.0,1987,6,2.0,0.0,0.0,0.0,0.0
13000000.0,Other,USA,Other,Action,53424681.0,R,7.5,Other,198587,Other,en,66.757869,242688965,RoboCop,102.0,1987,7,2.0,0.0,0.0,0.0,0.0
100000000.0,Metro Goldwyn Mayer,USA,Other,Action,58607007.0,PG-13,6.2,Other,196134,Other,en,66.757869,242688965,RoboCop,109.5,2014,2,1.0,0.0,0.0,0.0,0.0
25000000.0,Paramount Pictures,USA,Other,Crime,76270454.0,R,7.9,Other,235638,Other,en,38.272889,76270454,The Untouchables,119.0,1987,6,2.0,0.0,0.0,0.0,0.0
3600000.0,Other,USA,Other,Comedy,5923044.0,R,7.8,Other,124067,Other,en,35.674774,5923044,Evil Dead II,84.0,1987,3,2.0,0.0,0.0,0.0,0.0
14000000.0,Paramount Pictures,USA,Other,Drama,156645693.0,R,6.9,Other,60674,Other,en,16.742972,320145693,Fatal Attraction,119.0,1987,9,1.0,0.0,0.0,0.0,0.0
30000000.0,Other,UK,Other,Action,51185897.0,PG,6.7,Other,74712,Other,en,23.331459,191185897,The Living Daylights,130.0,1987,7,1.0,0.0,0.0,0.0,0.0
15000000.0,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100.0,R,7.4,Other,126741,Other,en,24.898687,43848069,Wall Street,126.0,1987,12,2.0,0.0,0.0,0.0,0.0
4500000.0,New Line Cinema,USA,Other,Action,44793222.0,R,6.6,Other,55768,Wes Craven,en,17.304054999999998,44793222,A Nightmare on Elm Street 3: Dream Warriors,96.0,1987,2,1.0,0.0,0.0,0.0,0.0
23000000.0,Universal Pictures,USA,Other,Adventure,20763013.0,PG-13,2.9,Other,33643,Other,en,12.777008,51881013,Jaws: The Revenge,89.0,1987,7,0.0,0.0,0.0,0.0,0.0
28000000.0,Paramount Pictures,USA,Tony Scott,Action,153665000.0,R,6.5,Other,91582,Other,en,25.28436,299965036,Beverly Hills Cop II,100.0,1987,5,1.0,0.0,0.0,0.0,0.0
23000000.0,Other,UK,Other,Biography,43984230.0,PG-13,7.8,Other,76763,Other,en,21.189028,43984230,The Last Emperor,163.0,1988,4,2.0,0.0,0.0,0.0,0.0
13000000.0,Touchstone Pictures,USA,Barry Levinson,Biography,123922370.0,R,7.3,Other,107566,Other,en,18.362333,123922370,"Good Morning, Vietnam",121.0,1988,1,2.0,0.0,0.0,0.0,0.0
2600000.0,Other,UK,Other,Drama,3130592.0,R,7.7,Other,11898,Other,en,11.552247,0,Maurice,137.0,1987,9,2.0,0.0,0.0,0.0,0.0
6500000.0,Columbia Pictures Corporation,USA,Other,Biography,54215416.0,PG-13,6.8,Other,22955,Other,en,6.847099000000001,54215416,La Bamba,108.0,1987,7,1.0,1.0,0.0,0.0,0.0
17000000.0,Other,UK,Other,Action,15681020.0,PG,3.6,Other,36184,Other,en,17.062117,19300000,Superman IV: The Quest for Peace,90.0,1987,7,0.0,0.0,0.0,0.0,0.0
3500000.0,Other,USA,Other,Comedy,14000000.0,R,6.0,Other,17629,Stephen King,en,10.729884,14000000,Creepshow 2,92.0,1987,5,1.0,0.0,0.0,1.0,0.0
3000000.0,Other,USA,Other,Comedy,7888703.0,PG,3.2,Other,8951,Other,en,4.103764,0,Teen Wolf Too,95.0,1987,11,0.0,0.0,0.0,1.0,0.0
0.0,Other,UK,Other,Horror,2488740.0,R,6.8,Other,10126,Other,en,7.924428,0,The Stepfather,95.0,1987,6,1.0,0.0,0.0,0.0,0.0
0.0,Other,USA,Other,Crime,29062561.0,PG-13,5.6,Other,25353,Other,en,7.924428,0,The Stepfather,101.0,2009,10,1.0,0.0,0.0,0.0,0.0
16000000.0,Other,USA,Woody Allen,Comedy,14792779.0,PG,7.6,Other,26594,Woody Allen,en,7.612849000000001,0,Radio Days,89.0,1987,1,2.0,0.0,0.0,0.0,0.0
29000000.0,Universal Pictures,UK,Other,Biography,5899797.0,PG,7.5,Denzel Washington,10743,Other,en,3.735723,0,Cry Freedom,157.0,1987,11,2.0,0.0,0.0,0.0,0.0
18000000.0,Other,USA,Other,Comedy,18532286.0,PG,6.2,Other,10443,Other,en,49.070321,100000000,Project X,98.0,1987,4,1.0,0.0,0.0,0.0,0.0
12000000.0,Other,USA,Other,Comedy,54731865.0,R,6.7,Other,168476,Other,en,49.070321,100000000,Project X,88.0,2012,3,1.0,0.0,0.0,0.0,0.0
70000000.0,Other,France,Other,Action,519596.0,R,6.7,Other,2893,Other,en,45.299089,130293714,Man on Fire,116.5,1987,9,1.0,0.0,0.0,0.0,0.0
70000000.0,Fox 2000 Pictures,USA,Tony Scott,Action,77911774.0,R,7.7,Denzel Washington,286602,Other,en,45.299089,130293714,Man on Fire,146.0,2004,4,2.0,0.0,0.0,0.0,0.0
